document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,skos_scopeNote,dcterms_description,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/dateIdentified-2009-08-24,dateIdentified-2009-08-24,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Date Identified,"The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).",The date on which the person(s) given under Identfied By applied a Scientific Taxon Name to the resource.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,No,dateIdentified
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/identificationQualifier-2009-04-24,identificationQualifier-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Identification Qualifier,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the Identification.","A brief phrase or a standard abbreviation (""cf. genus"", ""cf. species"", ""cf. var."", ""aff. species"", etc.) to express the determiner's doubts with respect to a specified taxonomic rank about the identification given in Scientific Taxon Name.","Splitting identification qualification and Scientific Taxon Name into separate fields is recommended practice in cases where only a single taxon name is available, or if the exchange format is able to keep relations between multiple names and identification qualifiers. Where the exchange format only supports simple multiplicities, a media item with multiple Scientific Taxon Names, some with, some without identification qualifiers, may have to be transferred with ""cf."" or ""aff."" qualifiers remaining embedded in the Scientific Taxon Name. Example: For the determinations ""cf. Fusarium oxysporum f. sp. palmarum"", ""Fusarium cf. oxysporum f. sp. palmarum"", ""Fusarium oxysporum cf. f. sp. palmarum"" the Scientific Taxon Name would always be ""Fusarium oxysporum f. sp. palmarum"", with Identification Qualifier ""cf. genus"", ""cf. species"" and ""cf. f.sp."", respectively. In most cases only the lowest taxon is in doubt, but cases exist where good reasons exist to suspect a specific or even infraspecific determination, without having a save generic identification.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,1,No,Yes,identificationQualifier
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/identifiedBy-2014-10-23,identifiedBy-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Identified By,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.",The name(s) of the person(s) who applied the Scientific Taxon Name to the media item or the occurrence represented in the media item.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,Yes,identifiedBy
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/lifeStage-2009-04-24,lifeStage-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Subject Life Stage,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,"A description of the life-cycle stage of any organisms featured within the media, when relevant to the subject of the media, e. g., larvae, juvenile, adult.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,Yes,lifeStage
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/nameAccordingTo-2009-09-21,nameAccordingTo-2009-09-21,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Name According To,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","The taxonomic authority used to apply the name to the taxon, e. g., a person, book or web service.","Examples are ""Flora of North America"", ""Landrum 1981, Monograph of the Genus Myrceugenia (Myrtaceae)"", ""Peterson Field Guide to Birds of North America"", or ""Expert identification by J.Smith"". The definition at dwc:nameAccordingTo is: 'The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,Yes,nameAccordingTo
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/preparations-2014-10-23,preparations-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Subject Preparation Technique,A list (concatenated and separated) of preparations and preservation methods for a specimen.,"Free form text describing the techniques used to prepare the subject of the media, prior to or while creating the media resource.","Examples for such techniques are: Insect under CO2, cooled to immobility, preservation with ethanol or formaldehyde. See also Resource Creation Technique for technical aspects of digital media object creation.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,No,preparations
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/scientificName-2009-09-21,scientificName-2009-09-21,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Scientific Taxon Name,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.",Scientific names of taxa represented in the media resource (with date and name authorship information if available) of the lowest level taxonomic rank that can be applied.,"The Scientific Taxon Name may possibly be of a higher rank, e.g., a genus or family name, if this is the most specific identification available. Where multiple taxa are the subject of the media item, multiple names may be given. If possible, add this information here even if the title or caption of the resource already contains scientific taxon names. Where the list of scientific taxon names is impractically large (e.g., media collections or identification tools), the number of taxa should be given in Taxon Count (see below). If possible, avoid repeating the Taxonomic Coverage here. Do not use abbreviated Genus names (""P. vulgaris""). It is recommended to provide author citation to scientific names, to avoid ambiguities in the presence of homonyms (the same name created by different authors for different taxa). Identifier qualifications should be supplied in the Identification Qualifier term rather than here (i. e. ""Abies cf. alba"" is deprecated, to be replaced with Scientific Taxon Name = ""Abies alba"" and Identification Qualifier = ""cf. species"").",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,1,No,Yes,scientificName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/scientificNameID-2009-08-24,scientificNameID-2009-08-24,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,,See dwc:scientificNameID.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,Yes,scientificNameID
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/sex-2009-04-24,sex-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Subject Sex,The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,"A description of the sex of any organisms featured within the media, when relevant to the subject of the media, e. g., male, female, hermaphrodite, dioecious.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,2,No,Yes,sex
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/vernacularName-2009-07-06,vernacularName-2009-07-06,http://rs-test.tdwg.org/dwc/terms/version/,,,,,,Common Name,A common or vernacular name.,Common (= vernacular) names of the subject in one or several languages. The ISO language name should be given in parentheses after the name if not all names are given by values of the Metadata Language term.,"The ISO language code after the name should be formatted as in the following example: 'abete bianco (it); Tanne (de); White Fir (en)'. If names are known to be male- or female-specific, this may be specified as in: 'ewe (en-female); ram (en-male);'.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,1,No,Yes,vernacularName
